effects1,effects2
0.5962546542,0.590181407
0.6743803413,0.8097043763
0.2029885054,0.8906853798
0.9153612131,1.131413914
0.6545505403,0.3062153692
0.3898651917,0.7887845273
0.769529605,1.2707459502
0.534872283,0.498341874
0.4345057413,0.1836834491
0.54647812,0.5138335988
0.7885867164,0.4897273581
0.5899829739,0.6109131846
0.3801136335,0.9749253277
0.9020810863,1.0975610693
0.8467271913,0.6512972211
0.9199266105,0.3993276978
0.4513452276,0.6349450945
0.1880120104,0.2872041544
0.1836267531,0.4335646951
0.3661047473,1.3841426254
0.4971800098,0.6768463056
0.7097332302,0.5623779631
0.602371747,0.3991350006
0.1230079774,0.0547944494
0.7114783228,0.9900432007
0.7012345091,0.5049809953
0.8483239018,0.8146972259
0.9213458246,0.9351771714
0.6434713806,0.9002794171
0.5050718195,0.5283979189
0.808781426,1.065627762
0.4659632884,1.2119065716
0.5261528038,0.4033987162
0.4118312859,0.9262278939
1.0857462797,0.6889606088
0.7306316066,0.5406733236
0.4351200625,0.5825255707
0.3008723275,0.4465634385
0.360132314,0.8396169389
0.4843930573,1.5487688584
0.315997233,0.2021125692
0.4296189119,0.5573279267
0.3967727524,0.6646102957
0.3978346106,0.2497955091
0.5025949716,0.6116242691
0.5017589798,1.0479020891
0.8415561202,0.257795749
0.3509423785,0.5729817409
0.6881423194,0.4869136721
0.5738437447,1.441940362
0.3289136842,0.8174830302
0.7228248368,1.032066392
0.5930494191,0.4847749794
0.9942898258,0.9355586924
0.7536900247,0.4636260468
0.4088380245,0.6017543154
0.2498193051,0.4863723112
0.4805171545,0.8544443329
0.2968024645,0.5520712296
0.5612101368,1.5652883108
0.787388532,0.7771414797
0.3108811887,0.2494767125
0.7043529786,0.5092219307
0.8261162703,0.8516632657
0.6523024469,0.3380708423
0.4367380575,0.7327081051
0.4739886062,0.5661401392
0.3264408274,0.4081704678
0.5281393698,0.3417013613
0.9475163648,1.0575692021
0.1662674928,0.8112537933
0.3474047593,0.229807403
0.9253664465,1.1910035071
0.3575685227,0.6847169339
1.4794545124,1.1097201481
0.4717302293,0.9162316725
0.7459502643,0.6003828282
0.4474374697,0.4507122384
0.4106065367,1.237940824
0.4791337336,0.3968491617
0.4466023323,0.2633104797
1.3399084224,0.7152689956
0.9996719534,0.7774016188
0.4998312377,1.1535429837
0.5339458257,0.5066816374
0.4072050486,1.2457865481
0.6881849135,0.5239066052
0.9640721937,0.6578114916
0.5629245964,0.6456869175
1.2002691753,1.8528786397
0.4650322339,0.9199987579
0.5002356591,0.3246003919
0.2506495612,0.682474241
1.0249108651,0.6457537836
0.9175635005,0.5794614737
0.817957198,0.6852278849
0.4551394597,0.5346944395
0.4400716127,0.8859055464
0.8332225941,0.5918934387
0.5107701457,0.7005653362
1.0567726834,0.7429016608
0.4398069127,0.4388993688
0.4856217002,0.7702134762
0.4909630557,0.5164691687
0.5221895503,1.2856053536
0.3723832185,0.4426818911
0.406557688,0.657703548
0.9142278499,0.8457686677
0.7063346712,1.1105255509
0.7607765652,1.0658909767
0.8849116905,0.4375181111
0.3974408773,0.7894487551
0.8649512517,0.7756058943
0.5036770417,0.7058984034
0.4448563045,0.8458153998
0.1528530185,0.4110620485
0.7184952517,0.8138946939
0.3545113695,0.6050029105
0.5761446344,0.4330235097
0.520481457,0.5975972726
0.7979018554,1.1651912123
1.1246110922,0.7322470245
0.39150033,0.5612662472
0.4142078754,0.6428536775
0.3223964015,0.4922660484
0.7633274301,1.4855564318
0.6620857595,0.7623630754
0.409485193,0.5468890067
0.8781787293,0.7212285267
0.330131877,0.6761866227
0.3864298002,0.4351091297
0.3842256063,0.9575517988
0.6437729396,0.6425789211
0.6939525593,0.889115747
0.3024707744,0.2411208101
1.0244695384,0.7626571248
0.1235652024,0.3825374613
0.5568253415,0.707023217
0.5796833439,0.5035206631
0.5832869211,1.0196115236
0.9328938738,0.5505572428
0.7741851396,0.8462851864
